unit_id,section_id,col_id,project_id,col_area,unit_name,strat_name_id,Mbr,Fm,Gp,SGp,t_age,b_age,max_thick,min_thick,outcrop,pbdb_collections,pbdb_occurrences
34471,8618,1491,1,23519.533,Kechika,8091.0,,,Kechika,,465.5,499.95,1000.0,700.0,,16,102
22673,6318,42,1,2720.528,Beekmantown,7308.0,,Beekmantown,Knox,,465.5,484.4125,500.0,100.0,,0,0
34896,8785,1513,1,11711.186,Eleanor River Fm,5161.0,,Eleanor River,,,465.5,478.3188,300.0,300.0,,0,0
21863,5961,599,1,12602.958,Unnamed,,,,,,466.3667,478.7575,0.0,0.0,,0,0
1567,6324,809,1,4063.666,Beekmantown Gp,2382.0,,,Beekmantown,,466.3667,479.5375,943.0,762.0,surface,1,1
2568,467,71,1,34828.961,Ellenburger Gp,2471.0,,,Ellenburger,,466.3667,492.5,100.0,0.0,subsurface,0,0
14140,3755,470,1,15269.782,Garden City Limestone,3596.0,,Garden City Limestone,,,466.3667,486.85,1200.0,400.0,surface,11,24
10048,2541,357,1,4576.894,Grove Fm,807.0,,Grove,,,466.3667,472.2191,450.0,0.0,surface,0,0
8613,2155,317,1,46643.25,Unnamed,,,,,,466.3667,484.4125,900.0,0.0,surface,0,0
13702,3635,461,1,26235.342,Pogonip Limestone,3769.0,,Pogonip Limestone,,,466.3667,486.85,400.0,0.0,surface,0,0
13641,3603,459,1,25531.477,Pogonip Gp,2616.0,,,Pogonip,,466.3667,486.85,300.0,0.0,surface,6,96
296,67,13,1,6650.055,Newala Dolomite,3968.0,,Newala Dolomite,Knox,,468.4,477.1,320.0,183.0,both,0,0
7906,2037,302,1,9633.172,Epler Fm of Beekmantown Gp,6930.0,,Epler,Beekmantown,,469.1074,475.2696,394.0,303.0,surface,0,0
10319,2660,372,1,4599.878,Stockbridge Fm,1998.0,,Stockbridge,,,469.3267,515.726,3000.0,2000.0,both,0,0
14445,3833,476,1,26556.199,Garden City Limestone,3596.0,,Garden City Limestone,,,469.6556,479.5375,450.0,300.0,,7,20
2615,478,72,1,35466.312,Ellenburger Dolomite,3184.0,,Ellenburger Dolomite,,,469.6556,488.2625,170.0,0.0,subsurface,0,0
2619,481,73,1,27171.193,Ellenburger Dolomite,3184.0,,Ellenburger Dolomite,,,469.6556,486.85,100.0,0.0,subsurface,0,0
557,87,18,1,12817.529,Beekmantown Fm of Knox Gp,7308.0,,Beekmantown,Knox,,469.6556,484.4125,210.0,120.0,subsurface,0,0
9824,2479,347,1,27250.605,Deadwood Fm,503.0,,Deadwood,,,469.6556,502.25,175.0,0.0,both,10,16
10477,2719,381,1,11814.501,Dead River Fm,502.0,,Dead River,,,469.6556,475.2696,1000.0,0.0,surface,0,0
14500,3844,477,1,11327.024,Garden City Limestone,3596.0,,Garden City Limestone,,,469.6556,479.5375,500.0,300.0,surface,66,247
133,46,8,1,4713.695,Knox Gp,2525.0,,,Knox,,469.7787,493.575,900.0,450.0,both,4,7
