present_lon,present_lat,age (Ma),subducted_carbonates_volume (m),carbonate_thickness (m),convergence_obliquity (degrees),convergence_rate (cm/yr),convergence_rate_parallel (cm/yr),crustal_thickness_mean (m),Prospectivity Score,deposit,mineralization_age
-120.92779930951764,47.980471289469655,41,120.444275,111.63624,-43.68621065511066,5.581137922217386,-3.8549388162500287,47007.91015625,0.10604858,Glacier Peak,21.0
-121.14846961125058,48.343931618792894,43,44.14383,0.0,-45.51403875244886,5.473666869085313,-3.905035275070706,47310.9921875,0.0063857376,Glacier Peak,21.0
-120.97715583723,48.30112777846943,44,16.656174,0.0,-46.52382624170365,5.752622000072935,-4.174450890732109,47596.0,0.07218936,Glacier Peak,21.0
-120.80733602158082,48.260268999915894,45,3.2421136,0.0,-46.94136343085719,5.706610833011212,-4.169565797216923,49820.0,0.015298039,Glacier Peak,21.0
-121.1074466227799,48.17412804779746,46,14.8562565,0.0,-47.53572695382625,5.64536617908027,-4.164577934941158,47306.03125,0.13598558,Glacier Peak,21.0
-120.94143025812868,48.13479993490666,47,32.463326,0.0,-44.37916235909415,5.876301979430059,-4.109905883152334,48312.61328125,0.099006064,Glacier Peak,21.0
-120.77265925179144,48.07165870476066,48,25.62613,0.0,-23.57414928873621,9.170024272608854,-3.6674186758807306,48987.80078125,0.04700993,Glacier Peak,21.0
-120.91589628428449,47.97415097737664,50,0.0,0.0,-13.263043943756887,8.636121097228573,-1.9813160385662585,48402.48828125,0.2784804,Glacier Peak,21.0
-121.17951896876508,48.280701414706634,51,0.0,0.0,-13.602362822864333,8.721943417069841,-2.051245803073234,48505.10546875,0.49476272,Glacier Peak,21.0
-121.18518170373068,48.09540447354291,52,0.0,12.337146,93.46683837842504,-12.486302667290625,12.46345229490974,48079.02734375,0.19268289,Glacier Peak,21.0
-121.06533272409038,48.22806265471075,54,32.51169,59.834644,74.16430117485805,13.577084087318251,13.061808754664137,46381.15625,0.13861538,Glacier Peak,21.0
-121.0525658570991,48.28191091559988,56,0.0,56.68314,0.0,0.0,0.0,43549.59375,0.0238901,Glacier Peak,21.0
-121.00953982633914,48.18416835183799,57,832.65015,38.20348,0.0,0.0,0.0,43886.7890625,0.013204586,Glacier Peak,21.0
-109.78881664924356,33.013584239055696,25,0.26152506,48.816162,-107.84457783225751,-3.693636387307957,-3.515940211273157,46110.06640625,0.0023326424,Safford,48.0
-109.45588214962676,32.98854338943162,26,0.2990856,22.769228,-90.9658962660135,-2.728618323075239,-2.728230603061339,44818.359375,0.0061651836,Safford,48.0
