locality,age_ma,lat,lon,paleolat_hinsbergen2015,environment
"East of Twin Rivers, USA",25.0,48.163,-123.96,48.163,Shallow shelf
"Carter Creek, Alaska, North Slope, USA",25.0,69.9675,-144.702777778,69.9675,Shallow shelf
"Olympic Mountains, USA",25.0,48.1555,-123.8683,48.1555,Shallow shelf
"Olympic Mountains, USA",25.0,48.1554,-123.8659,48.1554,Shallow shelf
"Olympic Mountains, USA",25.0,48.1591,-123.8721,48.1591,Shallow shelf
"Kamchatka, Ugol'naya river",25.0,60.318677,165.796779,60.318677,Shallow shelf
"Mt Uvuch, Kamchatka",26.0,57.779773,157.477934,57.779773,Shallow shelf
"Cape Falcon, Or, USA",28.0,45.76,-123.98,45.76,Shallow shelf
"Rassoschina river, Kamchatka",28.0,55.951,156.561,55.951,Shallow shelf
"Western Kamchatka, Russia",28.0,58.13,158.42,58.13,Shallow shelf
"McGinty Point section, Alaska, USA",28.0,55.483056,-160.743611,55.483056,Shallow shelf
"West Cow section, Alaska",28.0,55.644273,-160.251278,55.644273,Shallow shelf
"Chichagof bay, Alaska",28.0,55.701873,-160.234799,55.701873,Shallow shelf
"Kushiro, Hokkaido, Japan",28.0,42.951,144.533,42.951,Shallow shelf
"Tokomuro, Hokkaido,  Japan",28.0,42.875,143.688,42.875,Shallow shelf
Severo-Kolpakovskaya 67 borehole,28.0,54.6274,155.8237,54.6274,Shallow shelf
"Western Kamchatka, Russia",28.0,58.13,158.42,58.13,Shallow shelf
"Pogranichny area, Sakhalin",28.5,50.38,143.766,50.38,Shallow shelf
"Olympic Mountains, USA",29.0,46.2838,-123.8056,46.2838,Shallow shelf
"Olympic Mountains, USA",29.0,46.2847,-123.8013,46.2847,Shallow shelf
"Olympic Mountains, USA",29.0,47.3079,-123.503,47.3079,Shallow shelf
"Olympic Mountains, USA",29.0,47.304,-123.5057,47.304,Shallow shelf
"Kovran river, Kamchatka",29.0,57.207372,156.881239,57.207372,Shallow shelf
"Icha river, Kamchatka",29.0,55.344,156.862,55.344,Shallow shelf
"Sopochnaya river, Kamchatka",29.0,56.039,156.01924,56.039,Shallow shelf
"Khoindzho Cape, Sakhalin",30.0,50.807,142.093,50.807,Shallow shelf
"Aleksandrovo area, Sakhalin",30.0,50.810944,142.167713,50.810944,Shallow shelf
"Makarov area, Sakhalin",30.0,48.63,142.74,48.63,Shallow shelf
"Ikushunbets, Hokkaido",30.0,43.1957,141.9809,43.1957,Shallow shelf
"Il’pinskii Peninsula, Kamchatka",30.0,59.966,164.933,59.966,Shallow shelf
"Il’pinskii Peninsula, Kamchatka",32.0,59.966,164.933,59.966,Shallow shelf
"Fukushima, NE Japan",32.0,37.027722,140.853583,37.027722,Shallow shelf
"Il’pinskii Peninsula, Kamchatka",33.0,59.966,164.933,59.966,Shallow shelf
"Sekiu River, Washington State, USA",33.0,48.29023,-124.3964,48.29,Deep water
"Tochilinsky section, Western Kamchatka",33.5,58.35,159.0,58.35,Shallow shelf
"Kolpakovskaya 1 borehole, Kamchatka",33.5,54.63333,155.93526,54.63333,Shelf
"Kushiro, Hokkaido, Japan",34.0,43.04,144.126,43.04,Shallow shelf
"Podkagernaya river, Kamchatka",34.0,60.3507,161.9927,60.3507,Shallow shelf
"Stream B, Kamchatka",34.0,60.2622,161.95,60.2622,Shallow shelf
"Kholmsk-Nevelsk area, Sakhalin",34.5,47.131,142.105,47.131,Shallow shelf
"Uglegorsk-Chekhov area, Sakhalin",35.0,49.01,142.15,49.01,Shallow shelf
"Pavlof Bay, Alaska",35.0,51.1833,-161.48333,42.89,Shallow shelf
"Tochilinsky section, Western Kamchatka",35.0,58.196472,158.549944,58.196472,Shallow shelf
"Belokamennaya river, Sakhalin",36.0,46.610137,143.008624,46.610137,Shallow shelf
"section 382, Lunpola basin, Tibet",36.0,32.034,89.154,,Lake
"Aleksandrovo area, Sakhalin",37.0,50.94648,142.197925,50.94648,Shallow shelf
"Kitosiya River, Sakhalin",37.0,46.3744,141.9505,46.3744,Shallow shelf
