lat,lon,sample_name,TOAGE,FROMAGE,OnlyCooling,TempDiff
-15.009391,35.459187,LITH01212018-ZO2567,120.0,125.0,-1.1538461538461604,-0.2307692307692321
-15.009391,35.459187,LITH01212018-ZO2567,125.0,130.0,-1.1538461538461462,-0.23076923076922923
-15.009391,35.459187,LITH01212018-ZO2567,130.0,135.0,-2.514170040485837,-0.5028340080971674
-15.009391,35.459187,LITH01212018-ZO2567,135.0,140.0,-3.421052631578945,-0.684210526315789
-15.009391,35.459187,LITH01212018-ZO2567,140.0,145.0,-3.421052631578945,-0.684210526315789
-15.009391,35.459187,LITH01212018-ZO2567,145.0,150.0,-3.421052631578945,-0.684210526315789
-15.72522,35.51962,LITH01212018-ZO2515,0.0,5.0,1.7857142857142847,0.35714285714285693
-15.72522,35.51962,LITH01212018-ZO2515,5.0,10.0,1.7857142857142883,0.35714285714285765
-15.72522,35.51962,LITH01212018-ZO2515,10.0,15.0,1.7857142857142847,0.35714285714285693
-15.72522,35.51962,LITH01212018-ZO2515,15.0,20.0,1.7857142857142847,0.35714285714285693
-15.72522,35.51962,LITH01212018-ZO2515,20.0,25.0,1.7857142857142883,0.35714285714285765
-15.72522,35.51962,LITH01212018-ZO2515,25.0,30.0,1.7857142857142847,0.35714285714285693
-15.72522,35.51962,LITH01212018-ZO2515,30.0,35.0,1.7857142857142847,0.35714285714285693
-15.72522,35.51962,LITH01212018-ZO2515,35.0,40.0,1.7857142857142847,0.35714285714285693
-15.72522,35.51962,LITH01212018-ZO2515,40.0,45.0,1.7142857142857153,0.3428571428571431
-15.72522,35.51962,LITH01212018-ZO2515,45.0,50.0,1.6666666666666643,0.33333333333333287
-15.72522,35.51962,LITH01212018-ZO2515,50.0,55.0,1.6666666666666714,0.33333333333333426
-15.72522,35.51962,LITH01212018-ZO2515,55.0,60.0,1.6666666666666643,0.33333333333333287
-15.72522,35.51962,LITH01212018-ZO2515,60.0,65.0,1.6666666666666643,0.33333333333333287
-15.72522,35.51962,LITH01212018-ZO2515,65.0,70.0,1.6666666666666643,0.33333333333333287
-15.72522,35.51962,LITH01212018-ZO2515,70.0,75.0,4.000000000000007,0.8000000000000014
-15.72522,35.51962,LITH01212018-ZO2515,75.0,80.0,5.55555555555555,1.11111111111111
-15.72522,35.51962,LITH01212018-ZO2515,80.0,85.0,5.555555555555557,1.1111111111111114
-15.72522,35.51962,LITH01212018-ZO2515,85.0,90.0,5.555555555555557,1.1111111111111114
-15.72522,35.51962,LITH01212018-ZO2515,90.0,95.0,10.78947368421052,2.157894736842104
-15.72522,35.51962,LITH01212018-ZO2515,95.0,100.0,10.789473684210535,2.157894736842107
-15.72522,35.51962,LITH01212018-ZO2515,100.0,105.0,10.789473684210535,2.157894736842107
-15.72522,35.51962,LITH01212018-ZO2515,105.0,110.0,9.798245614035082,1.9596491228070163
-15.72522,35.51962,LITH01212018-ZO2515,110.0,115.0,5.833333333333329,1.1666666666666656
-15.72522,35.51962,LITH01212018-ZO2515,115.0,120.0,-3.5999999999999943,-0.7199999999999989
-15.72522,35.51962,LITH01212018-ZO2515,120.0,125.0,-3.6000000000000085,-0.7200000000000017
-15.72522,35.51962,LITH01212018-ZO2515,125.0,130.0,-3.5999999999999943,-0.7199999999999989
-15.72522,35.51962,LITH01212018-ZO2515,130.0,135.0,-3.6000000000000085,-0.7200000000000017
-15.72522,35.51962,LITH01212018-ZO2515,135.0,140.0,-3.5999999999999943,-0.7199999999999989
-15.389646,35.22469,LITH01212018-ZO2237,0.0,5.0,3.529411764705884,0.7058823529411768
-15.389646,35.22469,LITH01212018-ZO2237,5.0,10.0,3.5294117647058805,0.7058823529411761
-15.389646,35.22469,LITH01212018-ZO2237,10.0,15.0,3.529411764705884,0.7058823529411768
-15.389646,35.22469,LITH01212018-ZO2237,15.0,20.0,2.697478991596636,0.5394957983193273
-15.389646,35.22469,LITH01212018-ZO2237,20.0,25.0,2.142857142857146,0.42857142857142916
-15.389646,35.22469,LITH01212018-ZO2237,25.0,30.0,2.142857142857139,0.42857142857142777
-15.389646,35.22469,LITH01212018-ZO2237,30.0,35.0,2.142857142857146,0.42857142857142916
-15.389646,35.22469,LITH01212018-ZO2237,35.0,40.0,2.142857142857139,0.42857142857142777
-15.389646,35.22469,LITH01212018-ZO2237,40.0,45.0,2.142857142857146,0.42857142857142916
-15.389646,35.22469,LITH01212018-ZO2237,45.0,50.0,2.142857142857139,0.42857142857142777
-15.389646,35.22469,LITH01212018-ZO2237,50.0,55.0,2.4088669950738932,0.48177339901477867
-15.389646,35.22469,LITH01212018-ZO2237,55.0,60.0,2.5862068965517295,0.5172413793103459
-15.389646,35.22469,LITH01212018-ZO2237,60.0,65.0,2.5862068965517224,0.5172413793103445
-15.389646,35.22469,LITH01212018-ZO2237,65.0,70.0,2.5862068965517224,0.5172413793103445
-15.389646,35.22469,LITH01212018-ZO2237,70.0,75.0,2.5862068965517295,0.5172413793103459
-15.389646,35.22469,LITH01212018-ZO2237,75.0,80.0,2.5862068965517224,0.5172413793103445
-15.389646,35.22469,LITH01212018-ZO2237,80.0,85.0,6.517241379310342,1.3034482758620682
-15.389646,35.22469,LITH01212018-ZO2237,85.0,90.0,7.5,1.5
-15.389646,35.22469,LITH01212018-ZO2237,90.0,95.0,7.045454545454547,1.4090909090909094
-15.389646,35.22469,LITH01212018-ZO2237,95.0,100.0,6.36363636363636,1.272727272727272
-15.389646,35.22469,LITH01212018-ZO2237,100.0,105.0,6.363636363636374,1.2727272727272747
-15.389646,35.22469,LITH01212018-ZO2237,105.0,110.0,6.36363636363636,1.272727272727272
-15.389646,35.22469,LITH01212018-ZO2237,110.0,115.0,6.36363636363636,1.272727272727272
-15.389646,35.22469,LITH01212018-ZO2237,115.0,120.0,-2.8125,-0.5625
-15.389646,35.22469,LITH01212018-ZO2237,120.0,125.0,-2.8125,-0.5625
-15.389646,35.22469,LITH01212018-ZO2237,125.0,130.0,-2.8125,-0.5625
-15.389646,35.22469,LITH01212018-ZO2237,130.0,135.0,-2.8125,-0.5625
-15.389646,35.22469,LITH01212018-ZO2237,135.0,140.0,-2.8125,-0.5625
-15.389646,35.22469,LITH01212018-ZO2237,140.0,145.0,-2.8125,-0.5625
-15.482007,34.622284,LITH01212018-ZO19252,0.0,5.0,6.46875,1.29375
-15.482007,34.622284,LITH01212018-ZO19252,5.0,10.0,2.34375,0.46875
-15.482007,34.622284,LITH01212018-ZO19252,10.0,15.0,2.34375,0.46875
-15.482007,34.622284,LITH01212018-ZO19252,15.0,20.0,2.34375,0.46875
-15.482007,34.622284,LITH01212018-ZO19252,20.0,25.0,2.34375,0.46875
-15.482007,34.622284,LITH01212018-ZO19252,25.0,30.0,2.34375,0.46875
-15.482007,34.622284,LITH01212018-ZO19252,30.0,35.0,2.34375,0.46875
-15.482007,34.622284,LITH01212018-ZO19252,35.0,40.0,2.28693181818182,0.45738636363636404
-15.482007,34.622284,LITH01212018-ZO19252,40.0,45.0,2.2727272727272734,0.4545454545454547
-15.482007,34.622284,LITH01212018-ZO19252,45.0,50.0,2.2727272727272663,0.45454545454545325
-15.482007,34.622284,LITH01212018-ZO19252,50.0,55.0,2.2727272727272805,0.4545454545454561
-15.482007,34.622284,LITH01212018-ZO19252,55.0,60.0,2.2727272727272663,0.45454545454545325
-15.482007,34.622284,LITH01212018-ZO19252,60.0,65.0,2.2727272727272734,0.4545454545454547
-15.482007,34.622284,LITH01212018-ZO19252,65.0,70.0,2.2727272727272734,0.4545454545454547
-15.482007,34.622284,LITH01212018-ZO19252,70.0,75.0,2.2727272727272734,0.4545454545454547
-15.482007,34.622284,LITH01212018-ZO19252,75.0,80.0,2.2727272727272734,0.4545454545454547
-15.482007,34.622284,LITH01212018-ZO19252,80.0,85.0,2.2727272727272734,0.4545454545454547
-15.482007,34.622284,LITH01212018-ZO19252,85.0,90.0,2.2727272727272734,0.4545454545454547
-15.482007,34.622284,LITH01212018-ZO19252,90.0,95.0,4.454545454545453,0.8909090909090907
-15.09255,34.682537,LITH01212018-ZO0697,0.0,5.0,6.111111111111111,1.222222222222222
-15.09255,34.682537,LITH01212018-ZO0697,5.0,10.0,5.600427350427349,1.1200854700854699
-15.09255,34.682537,LITH01212018-ZO0697,10.0,15.0,3.5576923076923066,0.7115384615384613
-15.09255,34.682537,LITH01212018-ZO0697,15.0,20.0,3.5576923076923137,0.7115384615384628
-15.09255,34.682537,LITH01212018-ZO0697,20.0,25.0,3.5576923076923066,0.7115384615384613
-15.09255,34.682537,LITH01212018-ZO0697,25.0,30.0,3.5576923076923066,0.7115384615384613
-15.09255,34.682537,LITH01212018-ZO0697,30.0,35.0,3.5576923076923066,0.7115384615384613
-15.09255,34.682537,LITH01212018-ZO0697,35.0,40.0,3.5576923076923066,0.7115384615384613
-15.09255,34.682537,LITH01212018-ZO0697,40.0,45.0,3.5576923076923066,0.7115384615384613
-15.09255,34.682537,LITH01212018-ZO0697,45.0,50.0,3.5576923076923066,0.7115384615384613
-15.09255,34.682537,LITH01212018-ZO0697,50.0,55.0,3.5576923076923137,0.7115384615384628
-15.09255,34.682537,LITH01212018-ZO0697,55.0,60.0,3.5576923076923137,0.7115384615384628
-15.09255,34.682537,LITH01212018-ZO0697,60.0,65.0,3.529720279720266,0.7059440559440532
-15.09255,34.682537,LITH01212018-ZO0697,65.0,70.0,3.5227272727272805,0.7045454545454561
-15.09255,34.682537,LITH01212018-ZO0697,70.0,75.0,3.5227272727272663,0.7045454545454533
-15.09255,34.682537,LITH01212018-ZO0697,75.0,80.0,3.5227272727272805,0.7045454545454561
-15.09255,34.682537,LITH01212018-ZO0697,80.0,85.0,3.5227272727272663,0.7045454545454533
-15.09255,34.682537,LITH01212018-ZO0697,85.0,90.0,3.5227272727272805,0.7045454545454561
-15.09255,34.682537,LITH01212018-ZO0697,90.0,95.0,3.5227272727272663,0.7045454545454533
-15.09255,34.682537,LITH01212018-ZO0697,95.0,100.0,3.5227272727272805,0.7045454545454561
-15.09255,34.682537,LITH01212018-ZO0697,100.0,105.0,3.5227272727272663,0.7045454545454533
-15.09255,34.682537,LITH01212018-ZO0697,105.0,110.0,1.5,0.3
-15.09255,34.682537,LITH01212018-ZO0697,110.0,115.0,1.5,0.3
-15.09255,34.682537,LITH01212018-ZO0697,115.0,120.0,1.5,0.3
-15.09255,34.682537,LITH01212018-ZO0697,120.0,125.0,1.5,0.3
-15.09255,34.682537,LITH01212018-ZO0697,125.0,130.0,-0.45454545454545325,-0.09090909090909065
-15.09255,34.682537,LITH01212018-ZO0697,130.0,135.0,-0.45454545454545325,-0.09090909090909065
-15.082297,34.722828,LITH01212018-ZO0625,0.0,5.0,3.0,0.6
-15.082297,34.722828,LITH01212018-ZO0625,5.0,10.0,3.0,0.6
-15.082297,34.722828,LITH01212018-ZO0625,10.0,15.0,0.8333333333333321,0.16666666666666644
